Doctor Name,Specialization,Experience,Location,City,Hospital,Consultation Fee,Profile Link
Dr. Varoon Jain,Dentist,18 years experience overall,"Goregaon West,",Mumbai,Smile Sutra  Multi Speciality Dental Clinic,₹500,https://www.practo.com/mumbai/doctor/dr-varoon-jain-dentist?practice_id=1168654&specialization=Doctor&referrer=doctor_listing&page_uid=3279119f-905b-4ae0-bfd3-f8f618fa7880
Dr. Alka Shah Thakker,Dentist,17 years experience overall,"Mulund West,",Mumbai,Smile Enhancer- A Complete Dental Solution,₹300,https://www.practo.com/mumbai/doctor/dr-alka-thakker-dentist?practice_id=687125&specialization=Doctor&referrer=doctor_listing&page_uid=3279119f-905b-4ae0-bfd3-f8f618fa7880
Dr. Ameya Manish Sonawane,Dentist,15 years experience overall,"Lokhandwala,",Mumbai,Millennium Smile Dental Clinic,₹500,https://www.practo.com/mumbai/doctor/dr-ameya-sonawane-dentist?practice_id=668318&specialization=Doctor&referrer=doctor_listing&page_uid=3279119f-905b-4ae0-bfd3-f8f618fa7880
Dr. Reshma Shankar Chawla,Dentist,15 years experience overall,"Bandra West,",Mumbai,Blanco Aesthetics,₹1000,https://www.practo.com/mumbai/doctor/dr-reshma-chawla-beriwal-dentist?practice_id=1277674&specialization=Doctor&referrer=doctor_listing&page_uid=3279119f-905b-4ae0-bfd3-f8f618fa7880
Dr. Amruta Save,Dentist,16 years experience overall,"Goregaon East,",Mumbai,American Dental Practices,₹500,https://www.practo.com/mumbai/doctor/dr-amruta-save-patil-dentist?practice_id=648638&specialization=Doctor&referrer=doctor_listing&page_uid=3279119f-905b-4ae0-bfd3-f8f618fa7880
Dr. Amit Shobhavat,Internal Medicine,18 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1200,https://www.practo.com/mumbai/doctor/dr-amit-shobhavat-internal-medicine?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=3279119f-905b-4ae0-bfd3-f8f618fa7880
Dr. Bhavik Saglani,General Physician,16 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/bhavik-harshad-saglani-diabetologist?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=4fd966bd-69a6-4305-ba3a-bc3c42ec6249
Dr. Lakin Vira,General Surgeon,16 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-lakin-vira-general-surgeon?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=4fd966bd-69a6-4305-ba3a-bc3c42ec6249
Dr. Tushar Rane,General Physician,18 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1200,https://www.practo.com/mumbai/doctor/dr-tushar-rane-internal-medicine?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=4fd966bd-69a6-4305-ba3a-bc3c42ec6249
Dr. Jinendra K Jain,General Physician,23 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,https://www.practo.com/mumbai/doctor/dr-jinendra-k-jain-general-physician?practice_id=679125&specialization=Doctor&referrer=doctor_listing&page_uid=4fd966bd-69a6-4305-ba3a-bc3c42ec6249
Dr. Kavita Rane,General Physician,18 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-kavita-rane-3-diabetologist?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=4fd966bd-69a6-4305-ba3a-bc3c42ec6249
Dr. Balaji Aironi,Cardiac Surgeon,25 years experience overall,"Chembur,",Mumbai,Surana Sethia Hospital and Research Center,₹2000,https://www.practo.com/mumbai/doctor/balaji-aironi-cardiac-surgeon?practice_id=708747&specialization=Doctor&referrer=doctor_listing&page_uid=4fd966bd-69a6-4305-ba3a-bc3c42ec6249
Dr. Harish Rai,Ophthalmologist,33 years experience overall,"Mulund West,",Mumbai,Drishti Eye Care Centre,₹1000,https://www.practo.com/mumbai/doctor/dr-harish-rai-ophthalmologist?practice_id=676974&specialization=Doctor&referrer=doctor_listing&page_uid=4fd966bd-69a6-4305-ba3a-bc3c42ec6249
Dr. Mihir Kothari,Ophthalmologist,27 years experience overall,"Parel,",Mumbai,Krishna Eye Centre,₹2000,https://www.practo.com/mumbai/doctor/dr-mihir-kothari-ophthalmologist-1-ophthalmologist?practice_id=648650&specialization=Doctor&referrer=doctor_listing&page_uid=4fd966bd-69a6-4305-ba3a-bc3c42ec6249
Dr. Navina Singh,Gynecologist/Obstetrician,15 years experience overall,"Prabhadevi,",Mumbai,Birla Fertility & IVF,Free Consultation,https://www.practo.com/mumbai/doctor/dr-navina-singh-gynecologist-obstetrician?practice_id=1525658&specialization=Doctor&referrer=doctor_listing&page_uid=4fd966bd-69a6-4305-ba3a-bc3c42ec6249
Dr. Manjula Bagdi,Gynecologist/Obstetrician,47 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1200,https://www.practo.com/mumbai/doctor/manjula-bagdi?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=4fd966bd-69a6-4305-ba3a-bc3c42ec6249
Dr. Dimple V Chudgar,Gynecologist/Obstetrician,26 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-dimple-v-chudgar-gynecologist-obstetrician-1-1?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=ea0dbb6d-26cc-4134-83e8-ced9309d0033
Dr. Sanjay Borude,Bariatric Surgeon,41 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹3000,https://www.practo.com/mumbai/doctor/dr-sanjay-borude-bariatric-surgeon?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=ea0dbb6d-26cc-4134-83e8-ced9309d0033
Dr. Laxman Salve,General Surgeon,24 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹2000,https://www.practo.com/mumbai/doctor/laxman-salve?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=ea0dbb6d-26cc-4134-83e8-ced9309d0033
Dr. Aparna Govil Bhasker,Bariatric Surgeon,19 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-aparna-govil-bhasker-bariatric-surgeon?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=ea0dbb6d-26cc-4134-83e8-ced9309d0033
Dr. Aditi Singhi,Gynecologist/Obstetrician,22 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-aditi-singhi-gynecologist-obstetrician-1?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=ea0dbb6d-26cc-4134-83e8-ced9309d0033
Dr. Kunal  Makhija,Orthopedist,18 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/kunal-radhakishan-makhija-orthopedist?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=ea0dbb6d-26cc-4134-83e8-ced9309d0033
Dr. Biswajeet Naidu,Orthopedist,35 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹2000,https://www.practo.com/mumbai/doctor/biswajeet-naidu-orthopedist?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=ea0dbb6d-26cc-4134-83e8-ced9309d0033
Dr. Kailash Kothari,Spine And Pain Specialist,31 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹2000,https://www.practo.com/mumbai/doctor/dr-kailash-kothari-anesthesia-and-pain-medicine?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=ea0dbb6d-26cc-4134-83e8-ced9309d0033
Dr. Aditi Agrawal,General Surgeon,20 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,https://www.practo.com/mumbai/doctor/dr-aditi-agrawal-general-surgeon?practice_id=679125&specialization=Doctor&referrer=doctor_listing&page_uid=ea0dbb6d-26cc-4134-83e8-ced9309d0033
Dr. Imran Shaikh,GastroIntestinal Surgeon,20 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1050,https://www.practo.com/mumbai/doctor/dr-imran-shaikh-general-surgeon?practice_id=679125&specialization=Doctor&referrer=doctor_listing&page_uid=ea0dbb6d-26cc-4134-83e8-ced9309d0033
Dr. Prakash L Tejwani,Urologist,21 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1200,https://www.practo.com/mumbai/doctor/dr-prakash-l-tejwani-urologist?practice_id=679125&specialization=Doctor&referrer=doctor_listing&page_uid=5a3718af-7fc5-4b0d-9322-e37da64a8591
Dr. Shoaib Padaria Fakhruddin,Cardiologist,43 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/shoaib-padaria-cardiologist?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=5a3718af-7fc5-4b0d-9322-e37da64a8591
Dr. Niraj Mahajan,Gynecologist/Obstetrician,26 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹800,https://www.practo.com/mumbai/doctor/dr-niraj-mahajan-gynecologist-obstetrician?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=5a3718af-7fc5-4b0d-9322-e37da64a8591
Dr. Hemant Bhandari,Orthopedist,40 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-hemant-bhandari-orthopedist?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=5a3718af-7fc5-4b0d-9322-e37da64a8591
Dr. Sandip Bipte,General Surgeon,25 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹2000,https://www.practo.com/mumbai/doctor/dr-sandip-bipte-surgeon-general-surgeon?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=5a3718af-7fc5-4b0d-9322-e37da64a8591
Dr. Dilip Rajpal,Laparoscopic Surgeon,30 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-dilip-rajpal-general-surgeon-1?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=5a3718af-7fc5-4b0d-9322-e37da64a8591
Dr. Hitesh Kubadia,Orthopedist,23 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-hitesh-kubadia-orthopedist?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=5a3718af-7fc5-4b0d-9322-e37da64a8591
Dr. Rajiv Prakash Manek,Laparoscopic Surgeon,15 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,https://www.practo.com/mumbai/doctor/dr-rajiv-prakash-manek-general-surgeon?practice_id=679125&specialization=Doctor&referrer=doctor_listing&page_uid=5a3718af-7fc5-4b0d-9322-e37da64a8591
Dr. Pravin Gore,General Surgeon,25 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-pravin-gore-general-surgeon?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=5a3718af-7fc5-4b0d-9322-e37da64a8591
Dr. Nikhil Gawde,Laparoscopic Surgeon,16 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/nikhil-gawde-general-surgeon?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=5a3718af-7fc5-4b0d-9322-e37da64a8591
Dr. Laila Rajesh Dave,Gynecologist/Obstetrician,39 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-laila-dave-gynecologist-obstetrician-1?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=8189c03f-8a82-4410-aa5e-482dc9ea3dd0
Dr. Ranjan Burnwal,Orthopedist,16 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-ranjan-burnwal-orthopedist-1?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=8189c03f-8a82-4410-aa5e-482dc9ea3dd0
Dr. Keyur A Sheth,Gastroenterologist,23 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹2000,https://www.practo.com/mumbai/doctor/dr-keyur-a-sheth-gastroenterologist?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=8189c03f-8a82-4410-aa5e-482dc9ea3dd0
Dr. Vaishali Chaudhari,Gynecologist/Obstetrician,17 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1200,https://www.practo.com/mumbai/doctor/vaishali-chaudhari-gynecologist-obstetrician?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=8189c03f-8a82-4410-aa5e-482dc9ea3dd0
Dr. Om Parshuram Patil,Orthopedist,17 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-om-parshuram-patil-orthopedist?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=8189c03f-8a82-4410-aa5e-482dc9ea3dd0
Dr. Jayesh M Ranawat,Ear-Nose-Throat (ENT) Specialist,28 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹800,https://www.practo.com/mumbai/doctor/dr-jayesh-ranawat-1-ear-nose-throat-ent-specialist?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=8189c03f-8a82-4410-aa5e-482dc9ea3dd0
Dr. Ila Tyagi,Reproductive Endocrinologist (Infertility),33 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1200,https://www.practo.com/mumbai/doctor/dr-ila-tyagi-gynecologist-obstetrician-3?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=8189c03f-8a82-4410-aa5e-482dc9ea3dd0
Dr. Ramen Goel,Bariatric Surgeon,39 years experience overall,"Mumbai Central,",Mumbai,Wockhardt Hospitals,₹1500,https://www.practo.com/mumbai/doctor/obesity-care-hotmail-com-obesity-specialist1?practice_id=1235891&specialization=Doctor&referrer=doctor_listing&page_uid=8189c03f-8a82-4410-aa5e-482dc9ea3dd0
Dr. Prasad Chaudhari,Orthopedist,27 years experience overall,"Chembur,",Mumbai,Surana Sethia Hospital and Research Center,₹1000,https://www.practo.com/mumbai/doctor/prasad-chaudhari-orthopedist-orthopedist?practice_id=708747&specialization=Doctor&referrer=doctor_listing&page_uid=8189c03f-8a82-4410-aa5e-482dc9ea3dd0
Dr. Rajeev Naik,General Surgeon,20 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1200,https://www.practo.com/mumbai/doctor/dr-rajeev-naik-1-general-surgeon?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=8189c03f-8a82-4410-aa5e-482dc9ea3dd0
Dr. Kaustubh Ravindra Durve,Orthopedist,25 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-kaustubh-ravindra-durve-orthopedist?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=a1871d55-35a9-4e1c-b4fe-7dfd69acee39
Dr. Nasreen Gite,Urologist,18 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/nasreen-gite-urologist?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=a1871d55-35a9-4e1c-b4fe-7dfd69acee39
Dr. D B Bhosale,General Surgeon,40 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-d-b-bhosale-general-surgeon?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=a1871d55-35a9-4e1c-b4fe-7dfd69acee39
Dr. Vinod Rambal,Neurosurgeon,43 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,https://www.practo.com/mumbai/doctor/vinod-rambal-neurosurgeon?practice_id=679125&specialization=Doctor&referrer=doctor_listing&page_uid=a1871d55-35a9-4e1c-b4fe-7dfd69acee39
Dr. Badshah Khan,Pediatrician,23 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,https://www.practo.com/mumbai/doctor/badshah-khan-pediatrician?practice_id=679125&specialization=Doctor&referrer=doctor_listing&page_uid=a1871d55-35a9-4e1c-b4fe-7dfd69acee39
Dr. Vrunda  Karanjgaokar,Gynecologist/Obstetrician,32 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1200,https://www.practo.com/mumbai/doctor/vrunda-karanjgaokar-gynecologist-obstetrician-gynecologist-obstetrician?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=a1871d55-35a9-4e1c-b4fe-7dfd69acee39
Dr. Safiuddin,Orthopedist,19 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-safiuddin-orthopedist?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=a1871d55-35a9-4e1c-b4fe-7dfd69acee39
Dr. Seema Behl,Ophthalmologist,34 years experience overall,"Andheri East,",Mumbai,Smart Vision Eye Centre,₹800,https://www.practo.com/mumbai/doctor/seema-behl-ophthalmologist?practice_id=1209399&specialization=Doctor&referrer=doctor_listing&page_uid=a1871d55-35a9-4e1c-b4fe-7dfd69acee39
Dr. Kiran Shah,Gastroentrology Surgeon,39 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹2000,https://www.practo.com/mumbai/doctor/dr-kiran-shah-1-general-surgeon?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=a1871d55-35a9-4e1c-b4fe-7dfd69acee39
Dr. Vidya Patil,Gynecologist/Obstetrician,29 years experience overall,"Kandivali West,",Mumbai,Arya Women's Hospital,₹1500,https://www.practo.com/mumbai/doctor/dr-vidya-7-gynecologist-obstetrician?practice_id=710438&specialization=Doctor&referrer=doctor_listing&page_uid=a1871d55-35a9-4e1c-b4fe-7dfd69acee39
Dr. Ajay Rathod,Orthopedist,30 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-ajay-rathod-orthopedist-2?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=dffe8370-6438-4672-8269-1ca0068d09d6
Dr. Abhijeet Desai,Ophthalmologist,29 years experience overall,"Borivali West,",Mumbai,Sohum Eye Care Centre- a unit of Dr Agarwals Eye Hospital,₹800,https://www.practo.com/mumbai/doctor/abhijeet-desai-ophthalmologist?practice_id=1245760&specialization=Doctor&referrer=doctor_listing&page_uid=dffe8370-6438-4672-8269-1ca0068d09d6
Dr. Fahad Afzal S,Oncologist,16 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹2000,https://www.practo.com/mumbai/doctor/fahad-afzal-s-oncologist?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=dffe8370-6438-4672-8269-1ca0068d09d6
Dr. Sarang Deshpande,Orthopedist,22 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,https://www.practo.com/mumbai/doctor/sarang-deshpande-orthopedist?practice_id=679125&specialization=Doctor&referrer=doctor_listing&page_uid=dffe8370-6438-4672-8269-1ca0068d09d6
Dr. Raju Sahetya,Gynecologist/Obstetrician,46 years experience overall,"Andheri West,",Mumbai,Pushpaa Hospital,₹1500,https://www.practo.com/mumbai/doctor/raju-sahetya-gynecologist-obstetrician?practice_id=697500&specialization=Doctor&referrer=doctor_listing&page_uid=dffe8370-6438-4672-8269-1ca0068d09d6
Dr. Prashant M Mullerpatan,General Surgeon,28 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹2000,https://www.practo.com/mumbai/doctor/dr-prashant-m-mullerpatanto-surgeon-oncologist?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=dffe8370-6438-4672-8269-1ca0068d09d6
Dr. Erbaz Riyazahmed Momin,General Surgeon,26 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-erbaz-riyazahmed-momin-general-surgeon?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=dffe8370-6438-4672-8269-1ca0068d09d6
Dr. Chetan Bhambure,Cardiologist,28 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,https://www.practo.com/mumbai/doctor/chetan-bhambure-cardiologist?practice_id=679125&specialization=Doctor&referrer=doctor_listing&page_uid=dffe8370-6438-4672-8269-1ca0068d09d6
Dr. Ashwin Borkar,Neurosurgeon,20 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,https://www.practo.com/mumbai/doctor/dr-ashwin-borkar-neurosurgeon?practice_id=679125&specialization=Doctor&referrer=doctor_listing&page_uid=dffe8370-6438-4672-8269-1ca0068d09d6
Dr. Jenin Patel,Ophthalmologist,27 years experience overall,"Malad West,",Mumbai,Raghu Kamal’s Superspeciality Eye Hospital,₹800,https://www.practo.com/mumbai/doctor/dr-jenin-patel-ophthalmologist-ophthalmologist?practice_id=679711&specialization=Doctor&referrer=doctor_listing&page_uid=dffe8370-6438-4672-8269-1ca0068d09d6
Dr. Jatin Ashar,Ophthalmologist,22 years experience overall,"Ghatkopar East,",Mumbai,Mumbai Eye Care Cornea and Lasik Centre,₹1200,https://www.practo.com/mumbai/doctor/dr-jatin-ashar-ophthalmologist?practice_id=709984&specialization=Doctor&referrer=doctor_listing&page_uid=c7cff1ec-4b3d-41d5-95d2-7eecc735e0b0
Dr. Prajyot Jagtap,Orthopedist,18 years experience overall,"Chembur,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-prajyot-rajan-jagtap-orthopedist?practice_id=1053353&specialization=Doctor&referrer=doctor_listing&page_uid=c7cff1ec-4b3d-41d5-95d2-7eecc735e0b0
Dr. Chandra Veer Singh,Ear-Nose-Throat (ENT) Specialist,24 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1200,https://www.practo.com/mumbai/doctor/dr-chandra-veer-singh-ear-nose-throat-ent-specialist-1?practice_id=679125&specialization=Doctor&referrer=doctor_listing&page_uid=c7cff1ec-4b3d-41d5-95d2-7eecc735e0b0
Dr. Tarun Jain,Urologist,17 years experience overall,"Tardeo,",Mumbai,Apollo Spectra Hospitals,₹1500,https://www.practo.com/mumbai/doctor/dr-tarun-jain-2-urologist?practice_id=1134529&specialization=Doctor&referrer=doctor_listing&page_uid=c7cff1ec-4b3d-41d5-95d2-7eecc735e0b0
Dr. Sonia G. Nankani,Ophthalmologist,34 years experience overall,"Parel,",Mumbai,Krishna Eye Centre,₹1500,https://www.practo.com/mumbai/doctor/dr-sonia-g-nankani-ophthalmologist?practice_id=648650&specialization=Doctor&referrer=doctor_listing&page_uid=c7cff1ec-4b3d-41d5-95d2-7eecc735e0b0
